#Organism/Name,Kingdom,Group,SubGroup,Plasmid Name,RefSeq,INSDC,Size (Kb),GC%,Protein,rRNA,tRNA,Other RNA,Gene,Pseudogene,Release Date,Modify Date
"Acetobacter pasteurianus IFO 3283-01-42C",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA42C_040,NC_017106.1,AP011167,3.204,53.7453,4,-,-,-,4,-,2012/04/12,2016/10/13
"Acetobacter pasteurianus IFO 3283-01-42C",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA42C_050,NC_017107.1,AP011168,3.035,55.7825,3,-,-,-,3,-,2012/04/12,2016/10/13
"Acetobacter pasteurianus IFO 3283-01-42C",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA42C_030,NC_017151.1,AP011166,49.961,53.882,58,-,-,-,59,1,2012/04/12,2016/10/13
"Acetobacter pasteurianus IFO 3283-01-42C",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA42C_060,NC_017152.1,AP011169,1.815,58.5675,1,-,-,-,1,-,2012/04/12,2016/10/13
"Acetobacter pasteurianus IFO 3283-03",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA03-010,NC_017101.1,AP011129,191.427,53.366,169,-,-,-,181,12,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-03",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA03-060,NC_017109.1,AP011134,1.815,58.5675,1,-,-,-,1,-,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-03",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA03-020,NC_017118.1,AP011130,182.94,53.4968,162,-,-,-,173,11,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-03",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA03-030,NC_017119.1,AP011131,49.961,53.882,58,-,-,-,59,1,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-03",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA03-050,NC_017120.1,AP011133,3.035,55.7825,3,-,-,-,3,-,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-03",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA03-040,NC_017142.1,AP011132,3.204,53.7453,4,-,-,-,4,-,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-07",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA07-030,NC_017110.1,AP011138,49.961,53.882,58,-,-,-,59,1,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-07",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA07-020,NC_017122.1,AP011137,182.94,53.4968,162,-,-,-,173,11,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-07",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA07-040,NC_017123.1,AP011139,3.204,53.7453,4,-,-,-,4,-,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-07",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA07-060,NC_017124.1,AP011141,1.815,58.5675,1,-,-,-,1,-,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-07",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA07-010,NC_017143.1,AP011136,191.427,53.366,169,-,-,-,181,12,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-07",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA07-050,NC_017144.1,AP011140,3.035,55.7825,3,-,-,-,3,-,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-12",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA12-020,NC_017113.1,AP011172,182.94,53.4968,162,-,-,-,173,11,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-12",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA12-030,NC_017114.1,AP011173,49.961,53.882,58,-,-,-,59,1,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-12",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA12-040,NC_017115.1,AP011174,3.204,53.7453,4,-,-,-,4,-,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-12",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA12-050,NC_017116.1,AP011175,3.035,55.7825,3,-,-,-,3,-,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-12",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA12-014,NC_017136.1,AP011171,191.411,53.3663,168,-,-,-,180,12,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-12",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA12-060,NC_017137.1,AP011176,1.815,58.5675,1,-,-,-,1,-,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-22",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA22-010,NC_017117.1,AP011143,191.427,53.366,168,-,-,-,180,12,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-22",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA22-020,NC_017126.1,AP011144,182.94,53.4968,162,-,-,-,173,11,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-22",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA22-030,NC_017127.1,AP011145,49.961,53.882,58,-,-,-,59,1,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-22",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA22-050,NC_017128.1,AP011147,3.035,55.7825,3,-,-,-,3,-,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-22",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA22-060,NC_017129.1,AP011148,1.815,58.5675,1,-,-,-,1,-,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-22",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA22-040,NC_017145.1,AP011146,3.204,53.7453,4,-,-,-,4,-,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-26",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA26-013,NC_017130.1,AP011150,191.419,53.3662,168,-,-,-,180,12,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-26",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA26-020,NC_017131.1,AP011151,182.94,53.4968,162,-,-,-,173,11,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-26",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA26-040,NC_017132.1,AP011153,3.204,53.7453,4,-,-,-,4,-,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-26",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA26-060,NC_017133.1,AP011155,1.815,58.5675,1,-,-,-,1,-,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-26",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA26-030,NC_017147.1,AP011152,49.961,53.882,58,-,-,-,59,1,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-26",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA26-050,NC_017148.1,AP011154,3.035,55.7825,3,-,-,-,3,-,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-32",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA32-040,NC_017102.1,AP011160,3.204,53.7453,4,-,-,-,4,-,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-32",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA32-050,NC_017103.1,AP011161,3.035,55.7825,3,-,-,-,3,-,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-32",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA32-060,NC_017112.1,AP011162,1.815,58.5675,1,-,-,-,1,-,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-32",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA32-012,NC_017134.1,AP011157,191.443,53.3658,169,-,-,-,182,13,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-32",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA32-030,NC_017135.1,AP011159,49.961,53.882,58,-,-,-,59,1,2012/04/11,2016/10/13
"Acetobacter pasteurianus IFO 3283-32",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA32-020,NC_017149.1,AP011158,182.94,53.4968,162,-,-,-,173,11,2012/04/11,2016/10/13
"Acetobacter pasteurianus NBRC 101655",Bacteria,"Proteobacteria","Alphaproteobacteria",plasmid1,NZ_AP014882.1,AP014882,187.193,52.0228,180,-,-,-,202,22,2016/02/27,2017/02/15
"Acetobacter pasteurianus NBRC 101655",Bacteria,"Proteobacteria","Alphaproteobacteria",plasmid2,NZ_AP014883.1,AP014883,6.331,52.8826,8,-,-,-,11,3,2016/02/27,2017/02/15
"Acetobacter pasteurianus NBRC 101655",Bacteria,"Proteobacteria","Alphaproteobacteria",plasmid3,NZ_AP014884.1,AP014884,2.799,58.1994,4,-,-,-,4,-,2016/02/27,2017/02/15
"Acetobacter pasteurianus NBRC 101655",Bacteria,"Proteobacteria","Alphaproteobacteria",plasmid4,NZ_AP014885.1,AP014885,2.278,55.7068,2,-,-,-,2,-,2016/02/27,2017/02/15
"Acetobacter pasteurianus subsp. ascendens",Bacteria,"Proteobacteria","Alphaproteobacteria",unnamed1,NZ_CP015165.1,CP015165,49.38,51.132,47,-,-,-,53,6,2016/10/17,2016/10/17
"Acetobacter pasteurianus subsp. ascendens",Bacteria,"Proteobacteria","Alphaproteobacteria",unnamed2,NZ_CP015166.1,CP015166,46.811,56.1641,40,-,-,-,44,4,2016/10/17,2016/10/17
"Acetobacter pasteurianus subsp. ascendens",Bacteria,"Proteobacteria","Alphaproteobacteria",unnamed3,NZ_CP015167.1,CP015167,43.148,59.3052,48,-,-,-,50,2,2016/10/17,2016/10/17
"Acetobacter pasteurianus subsp. paradoxus",Bacteria,"Proteobacteria","Alphaproteobacteria",unnamed1,NZ_CP015169.1,CP015169,259.464,54.1798,238,-,-,-,262,24,2016/10/17,2016/10/17
"Acetobacter pasteurianus subsp. paradoxus",Bacteria,"Proteobacteria","Alphaproteobacteria",unnamed2,NZ_CP015170.1,CP015170,117.661,54.4607,99,-,-,-,112,13,2016/10/17,2016/10/17
"Acetobacter pasteurianus subsp. paradoxus",Bacteria,"Proteobacteria","Alphaproteobacteria",unnamed3,NZ_CP015171.1,CP015171,28.186,54.6371,26,-,-,-,29,3,2016/10/17,2016/10/17
"Acetobacter senegalensis",Bacteria,"Proteobacteria","Alphaproteobacteria",1P,NZ_LN606601.1,LN606601,80.028,0,91,-,-,-,95,4,2016/01/03,2016/01/07
"Acetobacter sp. SLV-7",Bacteria,"Proteobacteria","Alphaproteobacteria",unnamed1,NZ_CP011121.1,CP011121,165.374,52.3934,155,-,-,-,169,14,2016/04/25,2016/04/25
"Acetobacter sp. SLV-7",Bacteria,"Proteobacteria","Alphaproteobacteria",unnamed2,NZ_CP011122.1,CP011122,116.245,51.5308,103,-,-,-,111,8,2016/04/25,2016/04/25
"Acetobacter sp. SLV-7",Bacteria,"Proteobacteria","Alphaproteobacteria",unnamed3,NZ_CP011123.1,CP011123,25.29,55.8679,31,-,-,-,34,3,2016/04/25,2016/04/25
"Achromobacter denitrificans",Bacteria,"Proteobacteria","Betaproteobacteria",pEST4011,NC_005793.2,AY540995,76.958,62.026,60,-,-,-,61,-,2004/03/11,2014/12/18
"Achromobacter denitrificans",Bacteria,"Proteobacteria","Betaproteobacteria",pAX22,NC_022242.1,HF679279,28.466,62.2532,33,-,-,-,33,-,2013/08/27,2014/12/18
"Achromobacter xylosoxidans",Bacteria,"Proteobacteria","Betaproteobacteria",unnamed,NZ_CP014059.1,CP014059,21.968,65.0765,25,-,-,-,26,1,2016/02/12,2016/02/12
"Achromobacter xylosoxidans",Bacteria,"Proteobacteria","Betaproteobacteria",unnamed,-,CP014066,18.395,64.1533,15,-,-,-,21,6,2016/02/11,2016/02/11
"Achromobacter xylosoxidans",Bacteria,"Proteobacteria","Betaproteobacteria",pA81,NC_006830.1,AJ515144,98.192,62.1772,100,-,-,-,103,3,2002/12/04,2014/12/17
"Achromobacter xylosoxidans A8",Bacteria,"Proteobacteria","Betaproteobacteria",pA81,NC_014641.1,CP002288,98.156,62.1684,93,-,-,-,99,6,2010/11/04,2016/05/13
"Achromobacter xylosoxidans A8",Bacteria,"Proteobacteria","Betaproteobacteria",pA82,NC_014642.1,CP002289,247.895,61.3082,235,-,-,-,237,2,2010/11/04,2016/05/13
"Acidianus ambivalens",Archaea,"TACK group","Crenarchaeota",pDL10,NC_005562.1,AJ225333,7.598,37.9705,10,-,-,-,20,-,1998/04/15,2014/12/18
"Acidianus hospitalis",Archaea,"TACK group","Crenarchaeota",pAH1,NC_011299.1,EU881703,28.649,35.921,39,-,-,-,39,-,2008/09/30,2014/12/17
"Acidihalobacter prosperus",Bacteria,"Proteobacteria","Gammaproteobacteria",pAPV6,NZ_CP017449.1,CP017449,162.484,57.3146,159,-,-,-,161,2,2016/10/07,2016/10/07
"Acidiphilium cryptum JF-5",Bacteria,"Proteobacteria","Alphaproteobacteria",pACRY01,NC_009467.1,CP000689,203.589,62.3334,146,-,-,-,168,22,2007/05/23,2015/08/12
"Acidiphilium cryptum JF-5",Bacteria,"Proteobacteria","Alphaproteobacteria",pACRY02,NC_009468.1,CP000690,187.422,61.9196,159,-,-,-,169,10,2007/05/23,2015/08/12
"Acidiphilium cryptum JF-5",Bacteria,"Proteobacteria","Alphaproteobacteria",pACRY03,NC_009469.1,CP000691,88.953,62.1283,71,-,-,-,73,2,2007/05/23,2015/08/12
"Acidiphilium cryptum JF-5",Bacteria,"Proteobacteria","Alphaproteobacteria",pACRY04,NC_009470.1,CP000692,37.415,59.6205,30,-,-,-,30,-,2007/05/23,2015/08/12
"Acidiphilium cryptum JF-5",Bacteria,"Proteobacteria","Alphaproteobacteria",pACRY05,NC_009471.1,CP000693,37.155,60.8532,25,-,-,-,28,3,2007/05/23,2015/08/12
"Acidiphilium cryptum JF-5",Bacteria,"Proteobacteria","Alphaproteobacteria",pACRY06,NC_009472.1,CP000694,8.781,60.9953,6,-,-,-,6,-,2007/05/23,2015/08/12
"Acidiphilium cryptum JF-5",Bacteria,"Proteobacteria","Alphaproteobacteria",pACRY07,NC_009473.1,CP000695,5.629,57.5058,6,-,-,-,6,-,2007/05/23,2015/08/12
"Acidiphilium cryptum JF-5",Bacteria,"Proteobacteria","Alphaproteobacteria",pACRY08,NC_009474.1,CP000696,4.909,58.6881,5,-,-,-,5,-,2007/05/23,2015/08/12
"Acidiphilium multivorum",Bacteria,"Proteobacteria","Alphaproteobacteria",pAM5,NC_008691.1,DQ499634,5.161,57.547,5,-,-,-,5,-,2006/12/18,2014/12/18
"Acidiphilium multivorum AIU301",Bacteria,"Proteobacteria","Alphaproteobacteria",pACMV1,NC_015178.1,AP012036,271.573,62.94,230,-,-,-,246,16,2011/03/02,2015/07/30
"Acidiphilium multivorum AIU301",Bacteria,"Proteobacteria","Alphaproteobacteria",pACMV3,NC_015179.1,AP012038,54.248,61.2078,50,-,-,-,55,5,2011/03/02,2015/07/30
"Acidiphilium multivorum AIU301",Bacteria,"Proteobacteria","Alphaproteobacteria",pACMV5,NC_015180.1,AP012040,14.328,58.9475,13,-,-,-,13,-,2011/03/03,2015/07/30
"Acidiphilium multivorum AIU301",Bacteria,"Proteobacteria","Alphaproteobacteria",pACMV6,NC_015181.1,AP012041,12.125,59.5794,12,-,-,-,12,-,2011/03/03,2015/07/30
"Acidiphilium multivorum AIU301",Bacteria,"Proteobacteria","Alphaproteobacteria",pACMV8,NC_015182.1,AP012043,1.729,60.9023,2,-,-,-,2,-,2011/03/03,2015/07/30
"Acidiphilium multivorum AIU301",Bacteria,"Proteobacteria","Alphaproteobacteria",pACMV2,NC_015187.1,AP012037,65.564,61.9212,54,-,-,-,58,4,2011/03/03,2015/07/30
"Acidiphilium multivorum AIU301",Bacteria,"Proteobacteria","Alphaproteobacteria",pACMV4,NC_015188.1,AP012039,40.588,60.0473,32,-,-,-,33,1,2011/03/03,2015/07/30
"Acidiphilium multivorum AIU301",Bacteria,"Proteobacteria","Alphaproteobacteria",pACMV7,NC_015189.1,AP012042,5.178,57.5898,5,-,-,-,6,1,2011/03/03,2015/07/30
"Acidipropionibacterium acidipropionici",Bacteria,"Terrabacteria group","Actinobacteria",unnamed,NZ_CP014353.1,CP014353,2.365,67.7801,2,-,-,-,2,-,2016/03/31,2016/11/01
"Acidipropionibacterium acidipropionici",Bacteria,"Terrabacteria group","Actinobacteria",pRGO1,NC_002611.1,AB007909,6.868,65.3465,6,-,-,-,6,-,2000/11/15,2014/12/17
"Acidipropionibacterium jensenii",Bacteria,"Terrabacteria group","Actinobacteria",pLME106,NC_005705.1,AJ250233,6.868,65.3465,10,-,-,-,10,-,2004/02/27,2014/12/17
"Acidipropionibacterium jensenii",Bacteria,"Terrabacteria group","Actinobacteria",pZGX01,NC_019340.1,JQ728013,6.868,65.3174,11,-,-,-,11,-,2012/11/04,2015/09/08
"Acidithiobacillus caldus",Bacteria,"Proteobacteria","Acidithiobacillia",pTC-F14,NC_004734.1,AF325537,14.155,55.733,16,-,-,-,16,-,2003/04/21,2014/12/17
"Acidithiobacillus caldus",Bacteria,"Proteobacteria","Acidithiobacillia",pTcM1,NC_010600.1,EU421841,65.158,57.1242,45,-,-,-,45,-,2008/05/07,2014/12/17
"Acidithiobacillus caldus ATCC 51756",Bacteria,"Proteobacteria","Acidithiobacillia",megaplasmid mpAca1.1,NZ_CP005987.1,CP005987,171.972,57.3646,162,-,-,-,175,13,2015/01/21,2015/08/16
"Acidithiobacillus caldus ATCC 51756",Bacteria,"Proteobacteria","Acidithiobacillia",pACA1.1,NZ_CP005988.1,CP005988,27.536,59.3659,29,-,-,-,29,-,2015/01/21,2015/08/16
"Acidithiobacillus caldus ATCC 51756",Bacteria,"Proteobacteria","Acidithiobacillia",pACA1.2,NZ_CP005989.1,CP005989,9.82,50.3055,6,-,-,-,7,1,2015/01/21,2015/08/16
"Acidithiobacillus caldus SM-1",Bacteria,"Proteobacteria","Acidithiobacillia",megaplasmid,NC_015851.1,CP002574,251.782,57.2042,221,-,-,-,236,15,2011/07/21,2015/07/30
"Acidithiobacillus caldus SM-1",Bacteria,"Proteobacteria","Acidithiobacillia",pLAtc1,NC_015852.1,CP002575,9.778,59.8384,12,-,-,-,12,-,2011/07/21,2015/07/30
"Acidithiobacillus caldus SM-1",Bacteria,"Proteobacteria","Acidithiobacillia",pLAtc2,NC_015853.1,CP002576,14.11,57.7108,14,-,-,-,14,-,2011/07/21,2015/07/30
"Acidithiobacillus caldus SM-1",Bacteria,"Proteobacteria","Acidithiobacillia",pLAtc3,NC_015854.1,CP002577,29.704,58.8305,30,-,-,-,30,-,2011/07/21,2015/07/30
"Acidithiobacillus ferrooxidans",Bacteria,"Proteobacteria","Acidithiobacillia",pTF4.1,NC_001520.1,X96982,4.104,62.2076,2,-,-,-,2,-,1996/04/09,2014/12/17
"Acidithiobacillus ferrooxidans",Bacteria,"Proteobacteria","Acidithiobacillia",pTF5,NC_005023.1,U73041,19.792,56.1287,13,-,-,-,15,2,2003/07/08,2016/03/30
"Acidovorax avenae",Bacteria,"Proteobacteria","Betaproteobacteria",pAAA83,NC_024998.1,AB852526,59.534,64.4993,64,-,-,-,64,-,2014/09/26,2014/12/18
"Acidovorax sp. JS42",Bacteria,"Proteobacteria","Betaproteobacteria",pAOVO01,NC_008765.1,CP000540,72.689,62.2061,83,-,-,-,86,3,2007/01/10,2015/07/30
"Acidovorax sp. JS42",Bacteria,"Proteobacteria","Betaproteobacteria",pAOVO02,NC_008766.1,CP000541,63.609,64.5836,63,-,-,-,66,3,2007/01/10,2015/07/30
"Acinetobacter baumannii",Bacteria,"Proteobacteria","Gammaproteobacteria",p6200-114.848kb,NZ_CP010398.1,CP010398,114.848,41.6934,121,-,1,-,124,2,2015/01/21,2015/08/17
"Acinetobacter baumannii",Bacteria,"Proteobacteria","Gammaproteobacteria",p6200-47.274kb,NZ_CP010399.1,CP010399,47.274,40.8258,55,-,-,-,55,-,2015/01/21,2015/08/17
"Acinetobacter baumannii",Bacteria,"Proteobacteria","Gammaproteobacteria",p6200-9.327kb,NZ_CP010400.1,CP010400,9.327,34.2447,11,-,-,-,11,-,2015/01/21,2015/08/17
"Acinetobacter baumannii",Bacteria,"Proteobacteria","Gammaproteobacteria",II,NZ_HG977523.1,HG977523,63.72,33.4181,70,-,-,-,88,18,2015/01/01,2015/08/18
"Acinetobacter baumannii",Bacteria,"Proteobacteria","Gammaproteobacteria",III,NZ_HG977524.1,HG977524,64.165,33.3671,50,-,-,-,81,31,2015/01/01,2015/08/18
"Acinetobacter baumannii",Bacteria,"Proteobacteria","Gammaproteobacteria",IV,NZ_HG977525.1,HG977525,8.174,34.5363,8,-,-,-,8,-,2015/01/01,2015/08/18
