#Organism/Name,Strain,BioSample,BioProject,Group,SubGroup,Size (Mb),GC%,Assembly,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Candida albicans SC5314","SC5314",SAMN02953594 ,PRJNA10701,"Fungi","Ascomycetes",14.2827,33.4827,GCA_000182965.3 ,chromosome 1:NC_032089.1/CP017623.1; chromosome 2:NC_032090.1/CP017624.1; chromosome 3:NC_032091.1/CP017625.1; chromosome 4:NC_032092.1/CP017626.1; chromosome 5:NC_032093.1/CP017627.1; chromosome 6:NC_032094.1/CP017628.1; chromosome 7:NC_032095.1/CP017629.1; chromosome R:NC_032096.1/CP017630.1,-,8,6263,6030,2016/10/12,2016/12/08,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/965/GCF_000182965.3_ASM18296v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/965/GCA_000182965.3_ASM18296v3
"Zea mays","",-,PRJNA10769,"Plants","Land Plants",2067.62,46.8268,GCA_000005005.5 ,chromosome 1:NC_024459.1/GK000031.3; chromosome 2:NC_024460.1/GK000032.3; chromosome 3:NC_024461.1/GK000033.3; chromosome 4:NC_024462.1/CM000780.3; chromosome 5:NC_024463.1/CM000781.3; chromosome 6:NC_024464.1/CM000782.3; chromosome 7:NC_024465.1/GK000034.3; chromosome 8:NC_024466.1/CM000784.3; chromosome 9:NC_024467.1/CM000785.3; chromosome 10:NC_024468.1/CM000786.3; mitochondrion MT:NC_007982.1/AY506529.1; chloroplast Pltd:NC_001666.2/X86563.2,-,523,52476,58290,2010/01/29,2014/08/02,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/005/GCF_000005005.1_B73_RefGen_v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/005/GCA_000005005.5_B73_RefGen_v3
"Triticum aestivum","",SAMEA3663800 ,PRJEB11773,"Plants","Land Plants",13427.4,43.5,GCA_900067645.1 ,-,FAOM01,735943,-,-,2016/01/14,2016/01/14,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/067/645/GCA_900067645.1_Triticum_aestivum_CS42_TGAC_v1
"Aspergillus nidulans FGSC A4","FGSC A4",SAMN02953587 ,PRJNA130,"Fungi","Ascomycetes",30.2427,50.3,GCA_000149205.1 ,-,AACD01,90,9545,9541,2003/04/07,2014/08/06,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/205/GCF_000149205.1_ASM14920v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/205/GCA_000149205.1_ASM14920v1
"Aspergillus fumigatus Af293","Af293",SAMN00115746 ,PRJNA131,"Fungi","Ascomycetes",29.385,49.8207,GCA_000002655.1 ,chromosome 1:NC_007194.1/CM000169.1; chromosome 2:NC_007195.1/CM000170.1; chromosome 3:NC_007196.1/CM000171.1; chromosome 4:NC_007197.1/CM000172.1; chromosome 5:NC_007198.1/CM000173.1; chromosome 6:NC_007199.1/CM000174.1; chromosome 7:NC_007200.1/CM000175.1; chromosome 8:NC_007201.1/CM000176.1,AAHF01,8,9916,9630,2005/06/01,2014/08/04,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/655/GCF_000002655.1_ASM265v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/655/GCA_000002655.1_ASM265v1
"Neurospora crassa OR74A","OR74A",SAMN02953583 ,PRJNA13841,"Fungi","Ascomycetes",41.1024,48.2319,GCA_000182925.2 ,chromosome II:NC_026502.1/CM002237.1; chromosome III:NC_026503.1/CM002238.1; chromosome IV:NC_026504.1/CM002239.1; chromosome V:NC_026505.1/CM002240.1; chromosome VI:NC_026506.1/CM002241.1; chromosome VII:NC_026507.1/CM002242.1; linkage group I:NC_026501.1/CM002236.1; mitochondrion MT:NC_026614.1/KC683708.1,AABX03,21,10456,10813,2003/03/12,2014/08/06,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/925/GCF_000182925.2_NC12,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/925/GCA_000182925.2_NC12
"Phanerochaete chrysosporium","ATCC 20696",SAMN05790961 ,PRJNA343563,"Fungi","Basidiomycetes",39.2051,56.5,GCA_001910725.1 ,-,MJGA01,174,-,-,2016/12/20,2016/12/20,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/910/725/GCA_001910725.1_ASM191072v1
"Leishmania major strain Friedlin","Friedlin",SAMEA3138173 ,PRJNA10724,"Protists","Kinetoplasts",32.8551,59.7114,GCA_000002725.2 ,chromosome 1:NC_001905.3/FR796397.1; chromosome 2:NC_007244.2/FR796398.1; chromosome 3:NC_004916.2/FR796399.1; chromosome 4:NC_007245.2/FR796400.1; chromosome 5:NC_007246.2/FR796401.1; chromosome 6:NC_007247.2/FR796402.1; chromosome 7:NC_007248.2/FR796403.1; chromosome 8:NC_007249.2/FR796404.1; chromosome 9:NC_007250.2/FR796405.1; chromosome 10:NC_007251.2/FR796406.1; chromosome 11:NC_007252.2/FR796407.1; chromosome 12:NC_007253.2/FR796408.1; chromosome 13:NC_007254.2/FR796409.1; chromosome 14:NC_007255.2/FR796410.1; chromosome 15:NC_007256.2/FR796411.1; chromosome 16:NC_007257.2/FR796412.1; chromosome 17:NC_007258.2/FR796413.1; chromosome 18:NC_007259.2/FR796414.1; chromosome 19:NC_007260.2/FR796415.1; chromosome 20:NC_007261.2/FR796416.1; chromosome 21:NC_007262.2/FR796417.1; chromosome 22:NC_007263.2/FR796418.1; chromosome 23:NC_007264.2/FR796419.1; chromosome 24:NC_007265.2/FR796420.1; chromosome 25:NC_007266.2/FR796421.1; chromosome 26:NC_007267.2/FR796422.1; chromosome 27:NC_007268.2/FR796423.1; chromosome 28:NC_007269.2/FR796424.1; chromosome 29:NC_007270.2/FR796425.1; chromosome 30:NC_007271.2/FR796426.1; chromosome 31:NC_007272.2/FR796427.1; chromosome 32:NC_007273.2/FR796428.1; chromosome 33:NC_007285.2/FR796429.1; chromosome 34:NC_007286.2/FR796430.1; chromosome 35:NC_007284.2/FR796431.1; chromosome 36:NC_007287.2/FR796432.1,-,36,9686,8316,1998/06/29,2015/02/27,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/725/GCF_000002725.2_ASM272v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/725/GCA_000002725.2_ASM272v2
"Trypanosoma brucei gambiense DAL972","Dal 972 clone 1 (MHOM/CI/86/DAL972)",SAMEA2272188 ,PRJEA40697,"Protists","Kinetoplasts",22.1481,47.1525,GCA_000210295.1 ,chromosome 1:NC_026734.1/FN554964.1; chromosome 2:NC_026735.1/FN554965.1; chromosome 3:NC_026736.1/FN554966.1; chromosome 4:NC_026737.1/FN554967.1; chromosome 5:NC_026738.1/FN554968.1; chromosome 6:NC_026739.1/FN554969.1; chromosome 7:NC_026740.1/FN554970.1; chromosome 8:NC_026741.1/FN554971.1; chromosome 9:NC_026742.1/FN554972.1; chromosome 10:NC_026743.1/FN554973.1; chromosome 11:NC_026744.1/FN554974.1,-,11,9930,9822,2009/10/14,2015/06/30,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/295/GCF_000210295.1_ASM21029v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/295/GCA_000210295.1_ASM21029v1
"Trypanosoma cruzi","CL Brener",SAMN02953627 ,PRJNA11755,"Protists","Kinetoplasts",89.9375,51.7,GCA_000209065.1 ,-,AAHK01,29495,23696,19607,2005/07/14,2014/08/06,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/065/GCF_000209065.1_ASM20906v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/209/065/GCA_000209065.1_ASM20906v1
"Giardia lamblia ATCC 50803","WB C6",SAMN02952905 ,PRJNA1439,"Protists","Other Protists",11.2136,49.2,GCA_000002435.1 ,-,AACB02,92,6583,6502,2003/03/26,2014/08/05,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/435/GCF_000002435.1_GL2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/435/GCA_000002435.1_GL2
"Toxoplasma gondii ME49","ME49",SAMN00255192 ,PRJNA28893,"Protists","Apicomplexans",65.6681,52.2873,GCA_000006565.2 ,chromosome Ia:NC_031467.1/CM002034.1; chromosome Ib:NC_031468.1/CM002035.1; chromosome II:NC_031469.1/CM002036.1; chromosome III:NC_031470.1/CM002037.1; chromosome IV:NC_031471.1/CM002038.1; chromosome V:NC_031472.1/CM002039.1; chromosome VI:NC_031473.1/CM002040.1; chromosome VIIa:NC_031474.1/CM002041.1; chromosome VIIb:NC_031475.1/CM002042.1; chromosome VIII:NC_031476.1/CM002043.1; chromosome IX:NC_031477.1/CM002044.1; chromosome X:NC_031478.1/CM002045.1; chromosome XI:NC_031479.1/CM002046.1; chromosome XII:NC_031480.1/CM002047.1; apicoplast Pltd:NC_001799.1/U87145.2,ABPA02,2277,8505,8318,2008/05/20,2013/11/01,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/565/GCF_000006565.2_TGA4,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/565/GCA_000006565.2_TGA4
"Eimeria tenella","Houghton",SAMEA3138819 ,PRJEB4863,"Protists","Apicomplexans",51.8944,51.0796,GCA_000499545.1 ,apicoplast Pltd:NC_004823.1/AY217738.1,CBUW01,4665,8660,8609,2013/10/30,2015/01/30,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/545/GCF_000499545.2_ETH001,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/545/GCA_000499545.1_ETH001
"Cryptosporidium parvum Iowa II","",SAMN02952908 ,PRJNA144,"Protists","Apicomplexans",9.10232,30.2513,GCA_000165345.1 ,chromosome 1:NC_006980.1/CM000429.1; chromosome 2:NC_006981.1/CM000430.1; chromosome 3:NC_006982.1/CM000431.1; chromosome 4:NC_006983.1/CM000432.1; chromosome 5:NC_006984.1/CM000433.1; chromosome 6:NC_006985.1/CM000434.1; chromosome 7:NC_006986.1/CM000435.1; chromosome 8:NC_006987.1/CM000436.1,AAEE01,8,3887,3805,2004/04/05,2009/11/11,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/345/GCF_000165345.1_ASM16534v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/345/GCA_000165345.1_ASM16534v1
"Entamoeba histolytica HM-1:IMSS","HM-1:IMSS",SAMN02953605 ,PRJNA142,"Protists","Other Protists",20.8354,24.3,GCA_000208925.2 ,-,AAFB02,1529,8268,8163,2004/12/09,2014/08/06,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/925/GCF_000208925.1_JCVI_ESG2_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/208/925/GCA_000208925.2_JCVI_ESG2_1.0
"Plasmodium berghei","",SAMEA3138182 ,PRJNA146,"Protists","Apicomplexans",17.9546,23.7,GCA_000005395.1 ,-,CAAI01,7479,10024,9821,2004/11/15,2015/01/30,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/395/GCF_000005395.1_ASM539v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/395/GCA_000005395.1_ASM539v1
"Plasmodium chabaudi chabaudi","AS",SAMEA768774 ,PRJEB5711,"Protists","Apicomplexans",18.8678,23.6106,GCA_900002335.1 ,chromosome 1:NC_030101.1/LK022878.1; chromosome 2:NC_030102.1/LK022879.1; chromosome 3:NC_030103.1/LK022880.1; chromosome 4:NC_030104.1/LK022881.1; chromosome 5:NC_030105.1/LK022882.1; chromosome 6:NC_030106.1/LK022883.1; chromosome 7:NC_030107.1/LK022884.1; chromosome 8:NC_030108.1/LK022885.1; chromosome 9:NC_030109.1/LK022886.1; chromosome 10:NC_030110.1/LK022887.1; chromosome 11:NC_030111.1/LK022888.1; chromosome 12:NC_030112.1/LK022889.1; chromosome 13:NC_030113.1/LK022890.1; chromosome 14:NC_030114.1/LK022891.1; mitochondrion MIT:NW_015971901.1/LK022893.1; apicoplast Pltd:NC_023293.1/HF563595.1,-,39,5314,5158,2014/08/27,2016/05/13,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/335/GCF_900002335.2_PCHAS01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/002/335/GCA_900002335.1_PCHAS01
"Plasmodium falciparum 3D7","",-,PRJNA13173,"Protists","Apicomplexans",23.2703,19.363,GCA_000002765.1 ,chromosome 1:NC_004325.1/AL844501.1; chromosome 2:NC_000910.2/AE001362.1; chromosome 3:NC_000521.3/AL844502.1; chromosome 4:NC_004318.1/AL844503.1; chromosome 5:NC_004326.1/AL844504.1; chromosome 6:NC_004327.2/AL844505.1; chromosome 7:NC_004328.2/AL844506.2; chromosome 8:NC_004329.2/AL844507.2; chromosome 9:NC_004330.1/AL844508.1; chromosome 10:NC_004314.2/AE014185.2; chromosome 11:NC_004315.2/AE014186.2; chromosome 12:NC_004316.3/AE014188.3; chromosome 13:NC_004331.2/AL844509.2; chromosome 14:NC_004317.2/AE014187.2; mitochondrion MT:NC_002375.1/AJ276844.1,-,15,5512,5337,1998/12/17,2014/11/14,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/765/GCF_000002765.3_ASM276v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/765/GCA_000002765.1_ASM276v1
"Babesia bovis","T2Bo",SAMN02953679 ,PRJNA18731,"Protists","Apicomplexans",8.17971,41.6127,GCA_000165395.1 ,chromosome 2:NC_010574.1/AAXT01000003.1; chromosome 3:NC_010575.1/AAXT01000001.1; mitochondrion MT:NC_009902.1/EU075182.1; apicoplast API:NC_011395.1/AAXT01000007.1,AAXT01,14,3781,3706,2007/08/06,2010/03/10,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/395/GCF_000165395.1_ASM16539v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/395/GCA_000165395.1_ASM16539v1
"Theileria annulata","Ankara isolate clone C9",SAMEA3138180 ,PRJNA153,"Protists","Apicomplexans",8.35843,32.6263,GCA_000003225.1 ,chromosome 1:NC_011129.1/; chromosome 1:CR940347.1; chromosome 2:NC_011099.1/CR940348.1; chromosome 3:NC_011100.1/CR940352.2; chromosome 4:NC_011098.1/CR940353.1,-,8,5010,4950,2005/05/15,2011/05/17,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/225/GCF_000003225.2_ASM322v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/225/GCA_000003225.1_ASM322v1
"Theileria parva","Muguga",SAMN02953620 ,PRJNA16138,"Protists","Apicomplexans",8.34761,34.0411,GCA_000165365.1 ,chromosome 1:NC_007344.1/AAGK01000001.1; chromosome 2:NC_007345.1/AAGK01000002.1; apicoplast Pltd:NC_007758.1/AAGK01000009.1,AAGK01,9,4141,4061,2005/06/30,2010/03/10,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/365/GCF_000165365.1_ASM16536v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/365/GCA_000165365.1_ASM16536v1
"Encephalitozoon cuniculi GB-M1","GB-M1",SAMEA3138295 ,PRJNA13833,"Fungi","Other Fungi",2.49752,47.3005,GCA_000091225.1 ,chromosome I:NC_003242.2/AL391737.2; chromosome II:NC_003229.1/AL590442.1; chromosome III:NC_003230.1/AL590443.1; chromosome IV:NC_003231.1/AL590444.1; chromosome V:NC_003232.1/AL590445.1; chromosome VI:NC_003233.1/AL590446.1; chromosome VII:NC_003234.1/AL590447.1; chromosome VIII:NC_003235.1/AL590448.1; chromosome IX:NC_003238.2/AL590451.2; chromosome X:NC_003236.1/AL590449.1; chromosome XI:NC_003237.1/AL590450.1,-,11,2029,1996,2001/02/05,2015/02/27,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/225/GCF_000091225.1_ASM9122v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/225/GCA_000091225.1_ASM9122v1
"Plasmodium vivax","Salvador I",SAMN02953638 ,PRJNA150,"Protists","Apicomplexans",27.0137,42.2825,GCA_000002415.2 ,chromosome 1:NC_009906.1/CM000442.1; chromosome 2:NC_009907.1/CM000443.1; chromosome 3:NC_009908.2/CM000444.2; chromosome 4:NC_009909.1/CM000445.1; chromosome 5:NC_009910.1/CM000446.1; chromosome 6:NC_009911.1/CM000447.1; chromosome 7:NC_009912.1/CM000448.1; chromosome 8:NC_009913.1/CM000449.1; chromosome 9:NC_009914.1/CM000450.1; chromosome 10:NC_009915.1/CM000451.1; chromosome 11:NC_009916.1/CM000452.1; chromosome 12:NC_009917.1/CM000453.1; chromosome 13:NC_009918.1/CM000454.1; chromosome 14:NC_009919.1/CM000455.1; mitochondrion MT:NC_007243.1/AY598140.1,AAKM01,2748,5478,5392,2005/09/20,2009/11/11,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/415/GCF_000002415.2_ASM241v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/415/GCA_000002415.2_ASM241v2
"Caenorhabditis briggsae","AF16",SAMEA3138181 ,PRJNA10731,"Animals","Roundworms",108.384,37.6966,GCA_000004555.3 ,chromosome I:FR847112.2; chromosome II:FR847113.2; chromosome III:FR847114.2; chromosome IV:FR847118.2; chromosome V:FR847121.2; chromosome X:FR847123.2,CAAC03,638,22736,21959,2002/08/22,2015/04/10,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/555/GCA_000004555.3_CB4
"Caenorhabditis elegans","Bristol N2",SAMEA3138177 ,PRJNA13758,"Animals","Roundworms",100.286,35.4317,GCA_000002985.3 ,chromosome I:NC_003279.8/BX284601.5; chromosome II:NC_003280.10/BX284602.5; chromosome III:NC_003281.10/BX284603.4; chromosome IV:NC_003282.8/BX284604.4; chromosome V:NC_003283.11/BX284605.5; chromosome X:NC_003284.9/BX284606.5; mitochondrion MT:NC_001328.1/X54252.1,-,7,46719,28178,2001/12/03,2017/02/08,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/985/GCF_000002985.6_WBcel235,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/985/GCA_000002985.3_WBcel235
